SNR,PropSSIM,PropMSE,QAMSSIM,QAMMSE
0,0.10192361683386314,0.09310739071489396,0.20563798462733923,0.0883833053521812
5,0.21015041436079296,0.06944788139398125,0.29246175328841095,0.0639062492462637
10,0.4172474028891884,0.03653282010980712,0.3945927790905857,0.04357245653095147
15,0.6185205377193845,0.014444083757883742,0.5194223085630008,0.026403139549074695
20,0.7878794702912935,0.005073386004038515,0.6804776831572368,0.012189445570005442
25,0.8947970960712568,0.0018576847587610246,0.9025781118226323,0.0022264483678472143
30,0.9489031005650759,0.0008271945943389172,0.9988141263919798,2.32764819897133e-05
35,0.9715568916872144,0.000497393045861827,1.000000013292513,7.4607121205120795e-16
40,0.9797022661024873,0.0003935827581099974,1.000000013292513,7.4607121205120795e-16
