SNR,PropSSIM,PropMSE,QAMSSIM,QAMMSE
0,0.01915337045473238,0.11310011527860876,0.007208055156959083,0.15180072013754398
5,0.019867709493589493,0.11240381464912472,0.0074741105256738265,0.15459474023770203
10,0.02016101055172922,0.11201711666283452,0.0076678802189333465,0.15712246580303393
15,0.02086159294221478,0.11161932997955856,0.007052511286081592,0.16005515735808082
20,0.02164985022130333,0.11208428172077137,0.006813157079974985,0.1625251688634638
25,0.02061198330970497,0.11160433619939299,0.006610173896986412,0.1639676300745288
30,0.021307715786706052,0.11222188875333151,0.008441398156745354,0.16443939819212325
35,0.020608708559641607,0.11200409338661385,0.007302252022991628,0.16466605985029178
40,0.020334131948392165,0.1124559886044484,0.006763860001855319,0.16475473585623232
