SNR,PropSSIM,PropMSE,PropPSNR,QAMSSIM,QAMMSE,QAMPSNR
0,0.2714320898098363,0.0736275206357029,12.02326272354598,0.07749772604818811,0.11188383933834055,9.636625924848646
5,0.27343797853047197,0.07129084889642069,12.211551104088516,0.11305466139376884,0.08947296092413705,10.607247212526001
10,0.2770642427177253,0.06598922101627315,12.487584204768309,0.1635565674858464,0.06862987678455697,11.77000327560389
15,0.288375655411404,0.055711301998102994,13.130872790528418,0.23693027838387273,0.04942471556503072,13.208859492392838
20,0.31141659104138275,0.0429206923310465,14.258110063946766,0.34084377804009075,0.03298407189272852,14.982783114905972
25,0.33657795045821165,0.03537666781763123,15.089411274069484,0.4780538187531585,0.020382660878980954,17.079625521224518
30,0.35814659376840363,0.03182729497745062,15.541745324841536,0.6278170825151558,0.011840142496856226,19.454468313166263
35,0.3709427034588192,0.03234147313328735,15.518468810506077,0.7577714787965472,0.006723805485473184,21.922964156173446
40,0.37579543571072543,0.03249077427806862,15.458001491699145,0.8513466031713919,0.0038008423623316708,24.416123955067416
