SNR,PropSSIM,PropMSE,PropPSNR,QAMSSIM,QAMMSE,QAMPSNR
0,0.27092906544302503,0.05648228356585605,13.029702632102982,0.11088776570382337,0.08862405322195793,10.657312727631117
5,0.3091534593682313,0.040906142772820946,14.348186620455506,0.16908721686393785,0.06382350789764049,12.107954912862557
10,0.3582038571634753,0.032105754826096185,15.428069068077626,0.25562836395957594,0.04361708165114661,13.82126178553928
15,0.37136259247464215,0.033838702491431664,15.242849170040687,0.38634003584527155,0.02636818088120146,16.06226686655729
20,0.36936251509045676,0.03721642963236346,14.875131111285429,0.5907980286600915,0.012312751246182333,19.38675294158895
25,0.36645768746860663,0.03958461809617637,14.594010279576604,0.8953320980918679,0.0022430123428255847,26.85393007321471
30,0.3654580839740282,0.04037069690027486,14.509227772109012,0.9988871130414985,1.9883961659262434e-05,61.739062498597214
35,0.365205033343624,0.040701641989554366,14.47821584075121,0.9999999546191909,7.4607121205120795e-16,152.28400683131377
40,0.3652781412555752,0.040669227130737534,14.477453925229252,0.9999999546191909,7.4607121205120795e-16,152.28400683131377
